Max_Amplitude,Mean,Median,STD,Kurtosis,Skewness,IQR,First_Percentile,Second_Percentile,Third_Percentile,Zero_Crossing_Rate,RMS,Waveform_Factor,Pulse_Factor,Margin_Factor,Dominant_Freq,Spectral_Centroid,Spectral_Bandwidth,Spectral_Flatness,Spectral_Rolloff,Spectral_Kurtosis,Entropy,Sample_Entropy,Approximate_Entropy,Hjorth_Activity,Hjorth_Mobility,Hjorth_Complexity,Envelope_Mean,Envelope_STD,Envelope_Max,Envelope_Energy_Ratio,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Label
50000.0,10.501316,51.577553,6404.4893,13.112850297150565,0.9083937325928423,5116.784484863281,-2586.7125244140625,51.57755088806152,2530.0719604492188,0.060875,6404.4976,1.623305837461757,12.673170866335608,7.80701367165149,116.5,267.3604851516383,283.9681043917092,0.0076891296,428.28369140625,14.679450645642902,3.341047613679564,1.3384912541331853,1.3432497036200273,41017484.0,0.2749567344465301,2.1066859036660377,6200.168,6602.5,59310.91,0.679173124882177,952.95557,147.39178,44.747414,13.127771,-6.115142,-6.7452717,-7.516862,0.6312806,-4.282113,1.1176229,-9.584999,-5.122654,-12.87123,high-quality
50000.0,-2.2702987,91.159355,6912.9746,13.068096040999237,0.7332765513584063,5069.627624511719,-2477.3214721679688,91.15935516357422,2592.30615234375,0.059875,6912.975,1.68899001358801,12.216086342916519,7.232775945764916,104.75,255.31740945959427,275.13240432898795,0.0056352215,405.82275390625,15.925326670843953,3.3555948750808042,1.2509585260070533,1.2663038857203257,47789220.0,0.25708346579342567,2.0356536599560555,6415.334,7377.124,64174.28,0.7293904591720168,950.47534,149.76874,47.46784,15.978342,-2.926856,-10.644788,-5.429822,-1.0392551,-5.2275944,1.891134,-11.82955,-6.909533,-10.398724,high-quality
50000.0,20.240023,-106.94862,6948.795,6.167829109441831,0.5032159488042661,6378.3060302734375,-3279.5509643554688,-106.94862747192383,3098.7550659179688,0.1313125,6948.8247,1.4842232885670155,10.67967139151738,7.195461406503306,36.75,419.8460926745239,380.006684552749,0.04029642,854.3701171875,4.896533782896344,3.458262643758647,1.5096762993473078,1.4804743751670069,48285750.0,0.4581560565393267,2.208522167129364,7364.852,6506.2188,59325.97,0.5720006167527055,1053.7234,120.13991,-10.770817,17.277077,7.6423664,-4.2238045,-8.6365795,10.578877,-0.019551829,-11.0331,-11.467701,0.86045206,-5.0160227,high-quality
50000.0,7.7596865,-48.92946,6642.2246,9.973098992382688,-0.6073135505370313,4317.3558349609375,-2174.1513061523438,-48.929460525512695,2143.2045288085938,0.06075,6642.229,1.7170914168875677,12.92556622090083,7.527593518771385,83.25,266.4248476912973,287.47446577692915,0.015832223,465.2099609375,15.568591407765389,3.27602823964143,1.090967542873537,1.2186541754496436,44119148.0,0.27688544575166685,4.165428641070756,6135.4946,7112.9507,58369.473,0.7781715858776077,931.105,153.87234,47.598595,21.769331,-4.252456,-2.7620096,-9.0379715,7.093262,4.8964853,3.0544984,-6.029399,-3.7359774,-5.2683907,high-quality
40524.793,3.6080594,-64.873695,6647.089,10.179470952312641,-0.38387405274586006,4637.590087890625,-2365.8900756835938,-64.87369537353516,2271.7000122070312,0.0725,6647.09,1.7122921871395578,12.880013866139928,7.522088790030882,116.75,321.35790182413473,302.1912070142339,0.011635536,572.44873046875,8.666292837390213,3.299992144768618,1.296394960643263,1.289741721482626,44183790.0,0.32118852919466306,2.2231487623981248,6065.8457,7181.4434,55019.69,0.7741159178135659,982.8806,152.43237,9.088329,1.5081683,-11.952856,15.471525,7.971223,2.4230025,-8.120636,-4.273132,-8.78511,-5.6117306,-8.419137,high-quality
37347.14,2.6088996,-40.899773,6502.1924,10.50789410129703,-0.4067007652110972,4105.025909423828,-2065.8233032226562,-40.8997745513916,2039.2026062011719,0.067375,6502.193,1.7697552980893103,13.608911125637029,7.689713453791994,114.75,306.6683818600511,306.1227645760265,0.010664404,551.57470703125,9.18108836016173,3.26283134541669,1.1571764111670915,1.176123475749724,42278504.0,0.293738647537633,2.3555569243676593,5749.764,7176.1577,50752.42,0.8042684351746725,974.8352,150.07016,14.47451,4.0152345,-10.370325,15.853348,3.5838745,2.313943,-3.493476,-7.180452,-9.881744,-2.8816695,-9.470566,high-quality
35664.82,-0.6006115,30.380487,6883.7915,11.351534143582288,-0.6198360142872711,3322.1482849121094,-1677.158447265625,30.3804874420166,1644.9898376464844,0.0691875,6883.7915,1.8999143839424004,13.799912322041438,7.263439046872235,133.25,237.63394869636664,235.9537484635003,0.0022573178,345.5810546875,19.280731998420904,3.215864048525108,0.904851942138909,1.040521553852109,47386584.0,0.256352545779002,1.5825667989092413,5671.906,7912.1846,57043.44,0.8781457769022408,908.831,161.93063,35.768543,26.421228,-5.6763487,-10.939282,-14.192076,-5.5782814,-14.572037,-11.77424,-19.013367,-10.683569,-13.968185,high-quality
39302.695,-5.3335576,37.113274,6758.4736,9.210593732269302,-0.4817504967039673,3298.837127685547,-1663.8603820800781,37.1132755279541,1634.9767456054688,0.065625,6758.476,1.8381870296499407,13.599123600229857,7.3981174825391065,126.5,227.13836279430706,239.02860558074724,0.0025569706,330.9326171875,19.08818991646278,3.2038327904639665,0.7624201805763383,0.9386530379911915,45676964.0,0.22825470822457958,1.6446905574009902,5774.561,7616.3257,54213.094,0.9209369413294328,898.7473,160.78336,30.76094,27.631645,0.8923174,-6.843845,-8.1881695,-7.569876,-14.029518,-12.109974,-17.131817,-9.870829,-13.199062,high-quality
50000.0,-18.537247,-23.696497,7117.9614,10.556798877988918,0.5088611532389304,4679.603332519531,-2411.6614379882812,-23.696496963500977,2267.94189453125,0.0710625,7117.9854,1.7213196422521964,12.091340156202639,7.0244595247761055,134.75,295.9859637132986,277.4419876689089,0.009289339,511.29150390625,10.278717747360375,3.3412618768178057,1.2958487775019922,1.3548276442926817,50665372.0,0.32149685836982156,1.977465433016904,6481.506,7702.0254,70703.484,0.6640680741215326,980.0586,166.35822,14.357855,9.410146,-15.816858,8.0492935,-4.580238,2.7655916,-9.870305,-4.5419674,-4.3979373,-6.914836,-6.8834405,high-quality
50000.0,2.5713453,-86.91252,6910.3086,10.200282522683155,0.6578267224140609,4759.5926513671875,-2471.076416015625,-86.91252517700195,2288.5162353515625,0.063,6910.309,1.6985920373297911,12.290275421591554,7.235566369963694,118.75,268.6476707723272,257.76899998777867,0.005687001,448.66943359375,12.758014363226243,3.3445816383595743,1.2922435757554316,1.3521467406997925,47752364.0,0.2911006977693909,1.9118312941513713,6324.5596,7450.1475,64987.906,0.6932355394970476,958.1854,169.33267,22.094902,15.415123,-16.49874,5.6645947,-5.710128,1.5601628,-14.257818,-2.4756804,-7.4434175,-5.277415,-7.622507,high-quality
